song_order,track_name,album,year,nrgm_list,form_url,date,published,song_length,spotify,apple,fb,instrumental,lyrics,lyrics_url,analysis,main_lines,tags_adjective,tags_noun,sexual_themes,pg13,cancel_target,tragic_story,escapism,antihero,lgbt,substance_abuse,lastfm_sum,lastfm_pos
112,Yön tuoksut,Turkmenialainen tyttöystävä,1993,false,https://forms.gle/YHQsAKSkfUjoLuM88,2025-05-25 06:00:00 UTC,true,206,https://open.spotify.com/track/2SUJraK03fdYJK5keiJusn?si=969fffcb8e7047a2,https://music.apple.com/fi/album/y%C3%B6n-tuoksut/1443429662?i=1443430059&uo=4,,false,"On yö, mä ikkunasta katson, kun lunta tuiskuttaa
On yö, jotain kaunista jos korvaasi voisin kuiskuttaa

Mä jään hetkeksi sun viereen
Kuin vahtikoira koiven oikaisten
Kun silmät kosteina sua katselen ja mietin
Kun näin peiton alla pieree
Ei tuoksu tunnu nenään ollenkaan
Tai tunnusta mä en, kun nuuhkien
Sä heräät

On yö, vain halpa rannekello numeroita vilkuttaa
On yö ja pian taas navetalle on aika nilkuttaa

Mä jään hetkeksi sun viereen
Kuin vahtikoira koivet oikaisten
Kun silmät kosteina sua katselen ja mietin
Kun näin peiton alla pieree
Ei tuoksu tunnu nenään ollenkaan
Tai tunnusta mä en, kun nuuhkien
Sä heräät
On yö

On yö, vain halpa rannekello numeroita vilkuttaa
On yö ja pian taas navetalle on aika nilkuttaa",https://genius.com/Leevi-and-the-leavings-yon-tuoksut-lyrics,"Yön mystiikkaa ja arjen absurdeja hetkiä yhdistävä teos, jossa rakkaus ja häilyvä todellisuus sekoittuvat huumorilla ja herkkyydellä. Intiimi hetki, jossa yhteys toiseen on sekä kaunis että koominen.","""On yö, mä ikkunasta katson, kun lunta tuiskuttaa / On yö, jotain kaunista jos korvaasi voisin kuiskuttaa.""","humoristinen, arkinen, intiimi, rauhallinen, haikea","yö, rakkaus, uni, navetta, tuoksu",1,1,1,1,2,1,1,1,2441,179
113,Moottoritiemurhaaja muistelee…,Käärmenäyttely,1996,false,https://forms.gle/LtWYe5tGkNrTdfwp9,2025-05-26 06:00:00 UTC,true,293,https://open.spotify.com/track/7G7KyFV7YYjE40nGO88Wo8?si=c07dd51f2ebb47a5,https://music.apple.com/fi/album/moottoritiemurhaaja-muistelee/1443398667?i=1443398854&uo=4,,false,"Mä muistan vain aikaisen aamunkoiton
ja kirotun herätyskellon soiton
kun riidan sai aikaan taas lapsenhoito
mä ymmärsin saaneeni pistevoiton
Ja tarpeekseni paskapyykistä

Pelkäätkö mua
jos suutelen sua
kun itku meikin tuhri
Mä muuta en tehdä voi
Karkuun jos juokset
pelkäätkö mua
jos kosketan sua
kun kumpikin on uhri
Autoradiossa hiljaa soi
Jääthän mun luokse

(Paa-paa-pa-pa-paa)
Mennä et saa
Jos elävänä en pääse karkuun
se panttivangin hengen vaatikoon
Sinne tosi kauas taivaan kaaren taa
mut haudata saa
kun mä kuolen ja tarvitsen arkun
niin pankaa vaikka pahvilaatikkoon

Irvisti kaapista vaimon luuranko
Kun unohtui tyhjentää roskasanko
osui keskelle otsaa se hiilihanko
ja kiiltävänuppinen vaihdetanko
Hiljaa värähti kosketuksesta

Pelkäätkö mua
jos suutelen sua
kun itku meikin tuhri
Mä muuta en tehdä voi
Karkuun jos juokset
pelkäätkö mua
jos kosketan sua
kun kumpikin on uhri
Autoradiossa hiljaa soi
Jääthän mun luokse

(Paa-paa-pa-pa-paa)
Mennä et saa
Jos elävänä en pääse karkuun
se panttivangin hengen vaatikoon
Sinne tosi kauas taivaan kaaren taa
mut haudata saa
kun mä kuolen ja tarvitsen arkun
niin pankaa vaikka pahvilaatikkoon

Kai lehdet taas tästäkin kultaa vuolee
kun leveillä renkailla mutkat nuolee
Jos vauhdin voi pudottaa melkein puoleen
ja valita itse sen kuinka kuolee
Tällä suoralla tieltä suistuisi

Pelkäätkö mua
jos suutelen sua
kun itku meikin tuhri
Mä muuta en tehdä voi
Karkuun jos juokset
pelkäätkö mua
jos kosketan sua
kun kumpikin on uhri
Autoradiossa hiljaa soi
Jääthän mun luokse

Pelkäätkö mua
jos suutelen sua
kun itku meikin tuhri
Mä muuta en tehdä voi
Karkuun jos juokset
pelkäätkö mua
jos kosketan sua
kun kumpikin on uhri
Autoradiossa hiljaa soi
Jääthän mun luokse taas

(Ladi-da-dai-dai-dai
Ladi-da-dai-dai-dai
Ladi-da-dai-dai-dai
Ladi-da-dai-dai-dai
Ladi-da-dai-dai-dai
Ladi-da-dai-dai-dai)",https://lyricsfi.com/leevi-and-the-leavings/moottoritiemurhaaja-muistelee,"Kiehtovaa pohdintaa pelosta ja läheisyydestä, jossa riidan ja rakkauden raja hämärtyy. Elämän ja kuoleman kysymykset kietoutuvat arkisiin hetkiin, luoden synkän mutta humoristisen kuvan ihmissuhteista.","""Pelkäätkö mua, jos suutelen sua, kun itku meikin tuhri, mä muuta en tehdä voi.""","traaginen, synkkä, intensiivinen, ahdistava, melankolinen","suhde, väkivalta, kuolema, pakomatka, uhri, panttivanki",1,3,3,3,3,3,1,1,2434,180
114,Poika nimeltä Päivi,Raha ja rakkaus,1985,false,https://forms.gle/NLBtoB51goR1ALJXA,2025-05-27 06:00:00 UTC,true,186,https://open.spotify.com/track/5q61f0sKgdOgEur24MAkJj?si=596ca6e522b749d9,https://music.apple.com/us/album/poika-nimelt%C3%A4-p%C3%A4ivi/1442496069?i=1442496226&uo=4,,false,"Mä kerroin kaiken jo kirjeessäin
Jos en lähde niin petän itseäin

Lähdin kiertämään maailmaa
Pikkukaupungin kadut mua ahdistaa

Olin poika nimeltä Päivi
Enkä tiennyt oonko Romeo vai Julia

Olin poika nimeltä Päivi
Tahdoin vain suudella sun maalattuja huulia

Unta saanut en iltaisin
Aamuun asti mä kattoon tuijotin

Ihmiset mulle sanoi niin
""Jos et muutu, voit joutua helvettiin""

Olin poika nimeltä Päivi
Enkä tiennyt oonko Romeo vai Julia

Olin poika nimeltä Päivi
Tahdoin vain suudella sun maalattuja huulia

Antaa ihmisten tuijottaa
Vaikka joskus se onkin niin vaikeaa

Ystävyys meitä yhdistää
Etäisyys tekee sielussa kipeää

Olin poika nimeltä Päivi
Enkä tiennyt oonko Romeo vai Julia

Olin poika nimeltä Päivi
Tahdoin vain suudella sun maalattuja huulia

Olin poika nimeltä Päivi
Enkä tiennyt oonko Romeo vai Julia

Olin poika nimeltä Päivi
Tahdoin vain suudella sun maalattuja huulia

Olin poika nimeltä Päivi
Enkä tiennyt oonko Romeo vai Julia

Olin poika nimeltä Päivi
Tahdoin vain suudella sun maalattuja huulia",https://genius.com/Leevi-and-the-leavings-poika-nimelta-paivi-lyrics,"Lahjakkaasti leikittelevä identiteetti- ja rakkauskertomus, jossa nuori mies navigoi sisäisiä ristiriitojaan ja yhteiskunnan odotuksia, unelmoiden vapaudesta ja hyväksynnästä.","""Olin poika nimeltä Päivi / Enkä tiennyt oonko Romeo vai Julia""","nokkela, pohdiskeleva, kapinallinen, herkkä, identiteetti","sukupuoli, identiteetti, ystävyys, rakkaus, yhteiskunta, itsetutkiskelu",1,2,3,3,3,2,3,1,30001,4
115,Rakkauden työkalu,Rakkauden planeetta,1995,false,https://forms.gle/npLDoeA5fR8vA8YcA,2025-05-28 06:00:00 UTC,true,317,https://open.spotify.com/track/2ELZ0iUPcmJCthsPFYh5Us?si=7ece3754caac4a7f,https://music.apple.com/fi/album/rakkauden-ty%C3%B6kalu/1443109065?i=1443109533&uo=4,,false,"Jos hyppäät alas helikopterista
Voit ehkä ulos päästä tunnelista
Pois niistä sekavista kuvitelmista
Kun et kiinni saa häntääsi venäläinen puudeli

Sun on kai pakko yrittää
Vaikka väkisin mut tyydyttää

Sun syliisi mut hyydyttää
Kun kerran kyseessä on sentään maksava asiakas

Ei liene vieras kaikkein salaisinkaan mielihalu
Illasta iltaan pelkkä rakkauden työkalu
Ja vaikka käsittelet mua kuin jäistä lihapalaa
Sisälläni viha palaa

Ei liene vieras kaikkein salaisinkaan mielihalu
Illasta iltaan pelkkä rakkauden työkalu
Ja vaikka käsittelet mua kuin jäistä lihapalaa
Sisälläni viha palaa iloisesti roihuten

Helena ihana
Rakkauden työkalu
Helena ihana
Hiton Helena
Helena ihana
Rakkauden työkalu
Helena ihana
Hiton Helena

Jos aiot kodin ostaa Pietarista
Sun on luovuttava turkiksista
Kultakoruista ja korsetista
Kenties olla voit muutakin kuin venäläinen puudeli

Sun on kai pakko yrittää
Vaikka väkisin mut tyydyttää
Sun syliisi mut hyydyttää
Kun kerran kyseessä on sentään maksava asiakas

Ei liene vieras kaikkein salaisinkaan mielihalu
Illasta iltaan pelkkä rakkauden työkalu
Ja vaikka käsittelet mua kuin jäistä lihapalaa
Sisälläni viha palaa

Ei liene vieras kaikkein salaisinkaan mielihalu
Illasta iltaan pelkkä rakkauden työkalu
Ja vaikka käsittelet mua kuin jäistä lihapalaa
Sisälläni viha palaa iloisesti roihuten

Helena ihana
Vitun Helena
Helena ihana
Hampaaton Helena
Helena ihana
Hiton Helena
Helena ihana
Hampaaton Helena

Ei liene vieras kaikkein salaisinkaan mielihalu
Illasta iltaan pelkkä rakkauden työkalu
Ja vaikka käsittelet mua kuin jäistä lihapalaa
Sisälläni viha palaa

Ei liene vieras kaikkein salaisinkaan mielihalu
Illasta iltaan pelkkä rakkauden työkalu
Ja vaikka käsittelet mua kuin jäistä lihapalaa
Sisälläni viha palaa

Helena, Helena
Rakkauden työkalu
Helena, Helena
Rakkauden työkalu
Helena, Helena
Rakkauden työkalu
Helena, Helena
Rakkauden työkalu

Jos hyppäät alas helikopterista
Voit ehkä ulos päästä tunnelista
Pois niistä sekavista kuvitelmista

Jos aiot kodin ostaa Pietarista
Sun on luovuttava turkiksista
Joka korusta ja korsetista

Jos hyppäät alas helikopterista
Voit ehkä ulos päästä tunnelista
Pois niistä sekavista kuvitelmista...",https://genius.com/Leevi-and-the-leavings-rakkauden-tyokalu-lyrics,"Leikkisä ja ironinen kuvaus rakkaudesta, joka on yhtä aikaa kiihkeä ja kylmä, kuin jäinen lihapala. Helena on sekä himoittu että häilyvä rakkauden työkalu, joka herättää sekä intohimoa että vihaa.","""Ei liene vieras kaikkein salaisinkaan mielihalu, illasta iltaan pelkkä rakkauden työkalu.""","sarkastinen, ironinen, kriittinen, intensiivinen, tunteellinen","rakkaus, prostituutio, asiakas, viha, mielihalu, identiteetti, vapaus",3,3,3,2,2,3,1,1,14004,23
116,Muotitietoinen,Suuteleminen kielletty,1980,false,https://forms.gle/zpf1ZwYtVzUFqDfCA,2025-05-29 06:00:00 UTC,true,113,https://open.spotify.com/track/2SPNQ2b8I2M23NzllWVuJw?si=bea2b150add8449f,https://music.apple.com/fi/album/muotitietoinen/1443109065?i=1443110288&uo=4,,false,"Mua ennen koulussa kiusattiin
Kun en rahojani tuhlannut Brylcreemiin
Pojat veti mua turpiin ja rikkoi mun rillit

Oli kavereilla kaikilla Jamekset
Joten minäkin ostin sellaiset
Ylhäältä leveät ja alhaalta pillit

Muotitietoinen
Nyt mä olen muotitietoinen
Minä olen muotitietoinen
Ja tytötkin sen huomaa

Nyt naiset perässäni juoksevat
Heistä valitsen vain kaikkein kauneimmat
Joiden kanssa ajelen, kun saan oman auton

Tuntuu ihanalta huomata itsekin
Kuinka vaatteet tekevät popparin
Kun ennen olin pelle ja muutenkin mauton

Muotitietoinen
Nyt mä olen muotitietoinen
Minä olen muotitietoinen
Ja tytötkin sen huomaa

Muotitietoinen
Nyt mä olen muotitietoinen
Minä olen muotitietoinen
Ja tytötkin sen huomaa",https://genius.com/Leevi-and-the-leavings-muotitietoinen-lyrics,"Yksinkertainen mutta syvällinen matka itsensä löytämiseen, jossa muoti ja ulkonäkö määrittävät sosiaalista hyväksyntää. Kiusattuna kasvanut nuori mies muuttaa identiteettiään muotitietoisuuden myötä, saavuttaen vihdoin haluamansa huomion.","""Nyt mä olen muotitietoinen / Ja tytötkin sen huomaa""","ironinen, humoristinen, itsevarma, kepeä, nokkela","muoti, ulkonäkö, koulu, kiusaaminen, ihmissuhteet, auto",1,1,2,1,2,2,1,1,29326,5
117,Omenapiirakan makuista huulirasvaa,Onnen avaimet,2002,false,https://forms.gle/6hv8e8cptwbnBGhS7,2025-05-30 06:00:00 UTC,true,152,https://open.spotify.com/track/0UU4JuNcg3VmUTkLRti5cq?si=a48f7e7aaea14e6f,https://music.apple.com/fi/album/omenapiirakan-makuista-huulirasvaa/1443418701?i=1443418717&uo=4,,false,"Vaihto-oppilaana suuntana USA
Aikonut en enää takaisin tulla
Kun Suomeen palatessa kameran varas vei
Jäi mulle onneksi se filmirulla

Ja ne kaikki kuvat opettajasta
Alasti kertomassa Amerikasta
Mä unohdin suudelman, Mrs. Rodgers
Ja uunin sen kalkkunan, Mrs. Rodgers
Ja nyt kai lienee myöhäistä
Enää lähettää viestiä New Yorkiin

Täysin päättömästi sinuun hullaannuin
Opettaja Mrs. Rodgers tai Ellen
Elokuvista kun vihdoin kiinnostuin
Kahdenkesken niistä nautiskellen

Jätit kasetit ja radiomankan
Kai lentoasemalle Casablancan
Ja jälkeen sen suudelman, Mrs. Rodgers
Jäi maku omenapiirakan, Mrs. Rodgers
Ja nyt kai lienee myöhäistä
Enää lähettää viestiä New Yorkiin

On aikaa kulunut jo vuodesta '85
Se kuva sinusta on muistoista selkein
En silti vastata uskalla kirjeisiis
Kun oma poikakin on jo melkein aikamies",https://genius.com/Leevi-and-the-leavings-omenapiirakan-makuista-huulirasvaa-lyrics,"Nostalgiaa ja kadotettuja mahdollisuuksia, kun nuoren miehen ensirakkaus opettajassa jättää makean ja katkeran muiston omenapiirakan makuisena. Aikakauden ja etäisyyden myötä tunteet jäävät kytemään, mutta viestit uusiin alkuun jäävät lähettämättä.","""Jäi maku omenapiirakan, Mrs. Rodgers / Ja nyt kai lienee myöhäistä / Enää lähettää viestiä New Yorkiin.""","nostalginen, humoristinen, haikea, romanttinen, muisto","vaihto-oppilas, opettaja, rakkaus, valokuva, amerikka, menneisyys",1,2,1,2,3,2,1,1,2783,151
118,Paskaa lapsille,Single,1991,false,https://forms.gle/T6x6qW9zgoWvvJBQ6,2025-05-31 06:00:00 UTC,true,169,https://open.spotify.com/track/6gaDePFa0eCozNlHWhHUxu?si=04f4ff7e1b124eda,https://music.apple.com/fi/album/paskaa-lapsille/1443152869?i=1443153097&uo=4,,false,"Jos kerrot minne sä meet
Ja selität minkä sä teet
Mitä teet, jos ei täällä riitä rakkaus?
Niin paljon annettavaa
Mä kaiken kanssasi jaan
Kaiken saa, aivan kaiken päästä jalkoihin
Vai onko lähtösi syy
Se että loppu lähestyy
Ja ne myy sulle lentoliput Venukseen?
Ja onko lähteminen
Vain temppu pelkureiden?
Minä en suostu luovuttamaan liian aikaisin

En tiedä mitä teen
Jos maapallo nukkuu kuin unta Ruususen
En tiedä mihin meen
Jos maapallo hukkuu paskakerrokseen

Sä voit nukkua yön yli
Piilottaa pehmeytesi peittojen alle
Sä voit aidosti suuttua
Tuskasi huutaa koko maailmalle
Tai vaikka aseisiin tarttua ja nyrkkiä puida
Tai kyynelten vuolaassa virrassa uida
Miten röyhkeän pöyhkeä on ollut ihmiskunta
Ja minkä siitä palkakseen saa?
Tuhoon tuomista huomista painajaisunta
Ja jäljellä vain poltettu maa

En tiedä mitä teen
Jos maapallo nukkuu kuin unta Ruususen
En tiedä mihin meen
Jos maapallo hukkuu paskakerrokseen",https://genius.com/Leevi-and-the-leavings-paskaa-lapsille-lyrics,"Aikuisen ihmisen sisäinen kriisi, jossa pohditaan rakkauden riittämättömyyttä ja ihmiskunnan itsetuhoisia valintoja. Laulu yhdistää henkilökohtaisen hädän ja globaalin katastrofin, luoden synkän mutta ajankohtaisen kuvan tulevaisuudesta.","""En tiedä mitä teen, jos maapallo nukkuu kuin unta Ruususen, en tiedä mihin meen, jos maapallo hukkuu paskakerrokseen.""","sarkastinen, kriittinen, pessimistinen, kantaaottava, epätoivoinen","ympäristö, ihmiskunta, maapallo, tuho, tulevaisuus",1,3,3,3,3,2,1,1,9979,46
119,Rakkauslaulu,Kerran elämässä,1998,false,https://forms.gle/hE45GSSeFPjqThEz9,2025-06-01 06:00:00 UTC,true,213,https://open.spotify.com/track/3TMDs36eZW6udUyYTKxG3n?si=070d6f8230954ebf,https://music.apple.com/fi/album/rakkauslaulu/1443377859?i=1443378614&uo=4,,false,"Joka ainoa yö
Sydän kiivaammin lyö
Kun sun syliisi suunnistan
Olet kuin unelmaa
Sua en mielestä saa
Kun mä silmäni ummistan

Jos sua lääkkeeksi saan
Otan lääkkeeksi vaan
Olet kaunis, Euforia
Sua mä ansaitse en
Kiihkosta vapisen
Olet unta, Euforia

Sun huulet ovat samettia
Yhtä pehmeät kuin suudelma
 
Niin kuin kuu sekä Maa
Toisiaan radoiltaan
Voivat seurata katseillaan
Sua en voi omistaa
Edes haaveillakaan
Että voisin sua kiinnostaa

Sun huulet ovat samettia
Kuin elämä tai kuolema
 
Joka ainoa yö
Sydän kiivaammin lyö
Kun sun syliisi suunnistan
Olet kuin unelmaa
Sua en mielestä saa
Kun mä silmäni ummistan

Sun huulet ovat samettia
Yhtä pehmeät kuin suudelma
 
Jos sua lääkkeeksi saan
Otan lääkkeeksi vaan
Olet kaunis, Euforia
Sua mä ansaitse en
Kiihkosta vapisen
Olet unta, Euforia",https://lyricstranslate.com/en/Leevi-and-Leavings-Rakkauslaulu-lyrics.html,"Intensiivinen ja romanttinen kuvaus rakkauden ylevöittävästä vaikutuksesta, jossa sydämen sykinnät ja unelmat sekoittuvat totuuteen. Rakkaus on sekä kaunis että saavuttamaton, aiheuttaen kiihkeää kaipuuta ja euforista jännitystä.","""Olet kuin unelmaa, sua en mielestä saa, kun mä silmäni ummistan.""","romanttinen, haaveileva, kaipauksellinen, intensiivinen, unelmoiva","rakkaus, unelma, kaipuu, euforia, suhde",1,1,1,1,3,1,1,1,2863,144
120,Anastasia,Mies joka toi rock ’n’ rollin Suomeen,1981,false,https://forms.gle/LEoYM1cXqV7aMycC7,2025-06-02 06:00:00 UTC,true,247,https://open.spotify.com/track/3TrUAKAW0UcIe2JsP3JsIU?si=1351e43941f94b42,https://music.apple.com/us/album/anastasia-remastered/1442353299?i=1442354129&uo=4,,false,"Sinun kuvillasi huoneen seinät peittää voisin
Olet nainen jonka vuoksi öisin valvotaan
Silti elämä ei meistä ketään kohtele toisin
Kasvot kauneimmatkin aina vanhenevat aikanaan

Anastasia, et edes huomaakaan
Kun aika vie, sinun kasvoiltasi kauneuden
Ja valokuvat, haalistuvat kansioihin
Tuskin ainutkaan, sua muistuttaa

Sinun silmiäsi usein verrattu on tähtiin
Sinun kauneudestasi ovat miehet juopuneet
Niin monen nuoren miehen unelmissa vain sinut nähtiin
Silti vuodet eivät sinua hellästi kohdelleet

Anastasia, et edes huomaakaan
Kun aika vie, sinun kasvoiltasi kauneuden
Ja valokuvat, haalistuvat kansioihin
Kuitenkin...

Anastasia, et edes huomaakaan
Kun aika vie, sinun kasvoiltasi kauneuden
Ja valokuvat haalistuvat kansioihin
Tuskin ainutkaan, sua muistuttaa

Sinun kuvillasi huoneen seinät peittää voisin
Olet nainen jonka vuoksi öisin valvotaan
Silti elämä ei meistä ketään kohtele toisin
Kasvot kauneimmatkin aina vanhenevat aikanaan

Anastasia, et edes huomaakaan
Kun aika vie, sinun kasvoiltasi kauneuden
Ja valokuvat, haalistuvat kansioihin
Kuitenkin...

Anastasia, et edes huomaakaan
Kun aika vie, sinun kasvoiltasi kauneuden
Ja valokuvat, haalistuvat kansioihin
Kuitenkin...",https://genius.com/Leevi-and-the-leavings-anastasia-lyrics,"Kauneuden katoavaisuus ja ajan armoton kulku nousevat esiin, kun ihailtu Anastasia ei huomaa, kuinka hänen nuoruuden loistonsa haalistuu. Laulu herättää surumielistä kaipausta, johdattaen kuuntelijan miettimään, mitä jää jäljelle, kun kauneus lakkaa lumomasta.","""Anastasia, et edes huomaakaan / Kun aika vie, sinun kasvoiltasi kauneuden""","melankolinen, nostalginen, kaunis, haikea, pohdiskeleva","aika, kauneus, muisto, valokuva, nainen, unelma",1,2,2,3,3,1,1,1,3428,118
121,Pojat tanssimaan,Mies joka toi rock ’n’ rollin Suomeen,1981,false,https://forms.gle/7xS2woVtVckFPQSH6,2025-06-03 06:00:00 UTC,true,222,https://open.spotify.com/track/5y5rWD99QNf32U4YVu9hqr?si=f72098d7a0ef4b3b,https://music.apple.com/us/album/pojat-tanssimaan-remastered/1442353299?i=1442353904&uo=4,,false,"Pojat tanssimaan
Eivät tytöt sitä huomaa
Jos vain sormilla vilkutellaan

Tai jos jäädään istumaan
Ja tyhjän lasin reunaa
Lusikalla kilkutellaan

Askeleiden mukaan ei tanssi enää kukaan
Kun rytmi meidät villitsee

Jos hiukan vielä juovun vaatteistani luovun
Ja kaverit mua hillitsee-ee-ee-ee

Pojat tanssimaan
Jos ei tahdo olla yksin
Tai kavereiden mielestä nynny

Mene mukaan vaan
Tuskin edes huomaat kun
Lattialla uudelleen synnyt

Askeleiden mukaan ei tanssi enää kukaan
Kun rytmi meidät villitsee

Jos hiukan vielä juovun vaatteistani luovun
Ja kaverit mua hillitsee-ee-ee-ee

Pojat tanssimaan
Eivät tytöt sitä huomaa
Jos vain sormilla vilkutellaan

Tai jos jäädään istumaan
Ja tyhjän lasin reunaa
Lusikalla kilkutellaan

Askeleiden mukaan ei tanssi enää kukaan
Kun rytmi meidät villitsee

Jos hiukan vielä juovun vaatteistani luovun
Ja kaverit mua hillitsee

Askeleiden mukaan ei tanssi enää kukaan
Kun rytmi meidät villitsee

Jos hiukan vielä juovun vaatteistani luovun
Ja kaverit mua hillitsee-ee-ee-ee",https://genius.com/Leevi-and-the-leavings-pojat-tanssimaan-lyrics,"Leikkisä ja vauhdikas kutsu tanssimiseen, jossa kaverisuhteet ja yhteisöllisyys korostuvat, unohtaen hetkeksi arjen murheet ja itsensä. Nuoruuden vapauden ja rytmin viettelemät pojat löytävät itsensä tanssilattialta huolimatta tytöistä ja muista esteistä.","""Pojat tanssimaan, jos ei tahdo olla yksin, tai kavereiden mielestä nynny.""","hauska, energinen, kepeä, rohkaiseva, nuorekas","tanssi, ystävyys, juhlat, sosiaalinen paine, musiikki",1,2,1,1,2,2,1,2,13055,29
122,Mäyrä,Häntä koipien välissä,1988,false,https://forms.gle/eCKhCgxoRJzUP9Q46,2025-06-04 06:00:00 UTC,true,179,https://open.spotify.com/track/7FLwP9p4ZiCVUSimt1H7AY?si=90598cc142f84ee5,https://music.apple.com/fi/album/m%C3%A4yr%C3%A4/1443409726?i=1443409731&uo=4,,false,"Minä naistentansseista naista katselin
Sinut kun näin niin tiesin, että siinä se olisi

Mä kai tanssiessa sun korvaan huohotin
Sanoja, joita kuin itsestään mun suustani solisi

Mulla tahtomatta löi polvet loukkua
Ja kokeneen miehen itsevarmat elkeeni rapisi

Sä mua hampailla näykit kuin ongenkoukkua
Ja minä en vastustellut, vaikka onkeni vapisi

Sillä mikäpä siinä, jos toisten kanssa
Välillä tahtoo ja toisten kanssa ei

On typerää hillitä tunteitansa
Typerää miettiä, miksi kaiken tein

Sä et halunnut muuta kuin hetken leikkiä
-jo eteisessä kuin syksyn lehdet vaatteesi varisi

Ja mä halusin näytellä häntäheikkiä
-pian sänkysi patjan jouset tahdissa narisi

Sillä mikäpä siinä, jos toisten kanssa
Välillä tahtoo ja toisten kanssa ei

On typerää hillitä tunteitansa
Typerää miettiä, miksi kaiken tein

Moni poika sua mielessään tulisesti lempi
-minä satamaasi suoraan uin
Joku sänkysi laidalla istui ja empi
-mä jo eteisessä innostuin

Minä mäyränä melskasin mekkosi alla
-olin lipevä ja liukas kyy
Sinä säälistä annoit ja painostamalla
Sinuun tehosi myös huonompi syy",https://genius.com/Leevi-and-the-leavings-mayra-lyrics,"Leikkisä ja hieman itseironinen kertomus hetkellisistä suhteista, joissa intohimo voittaa järjen ja sydämen sykkeet sekoittuvat tanssin rytmiin. Mäyrä-symboliikka tuo mukaan leikkisyyttä ja rohkeutta, vaikka seuraukset voivat olla hämmentävät.","""Minä mäyränä melskasin mekkosi alla - olin lipevä ja liukas kyy.""","kepeä, leikittelevä, intohimoinen, huoleton, hetkellinen","romantiikka, tanssit, ihmissuhteet, viettely, tunteet",3,3,3,2,1,3,1,1,10355,43
123,Rakkauden planeetta,Rakkauden planeetta,1995,false,https://forms.gle/KaVat6iGft8n3bAz5,2025-06-05 06:00:00 UTC,true,190,https://open.spotify.com/track/0VdWlcDYHdPWqWq1ruZGKD?si=5c5530c8ea114505,https://music.apple.com/fi/album/itkisitk%C3%B6-onnesta/1443383737?i=1443384496&uo=4,,false,"Voiko asioiden kulkuun vaikuttaa
Onko olemassa joku, joka uskaltaa
Ja edes haluaa auttaa maailmaa
Tätä maailmaa
Vai onko ihminen menettänyt järkensä
Ja ehkä ehtinyt tuhota jo itsensä
Kun me löydetään Rakkauden planeetta

Voiko asioiden kulkuun vaikuttaa
Onko olemassa joku, joka uskaltaa
Ja edes haluaa auttaa maailmaa
Tätä maailmaa
Vai onko ihminen menettänyt järkensä
Ja ehkä ehtinyt tuhota jo itsenä
Kun me löydetään Rakkauden planeetta


Se on sama vaikka miettisi mielessään
Miksi ihminen välitä ei itsestään
Kun se yrittää käyttää maailmaa
Likasankonaan
Ja jos ihmiskunta sen tuhota saa
Onko olemassa paikkaa ollenkaan
Minne matkustaa
Rakkauden planeetta

Se on sama vaikka miettisi mielessään
Miksi ihminen välitä ei itsestään
Kun se yrittää käyttää maailmaa
Likasankonaan
Ja jos ihmiskunta sen tuhota saa
Onko olemassa paikkaa ollenkaan
Minne matkustaa
Rakkauden planeetta

Ennusteet huomisesta
Ei kerro rakkaudesta
Jää pelkkä pimeä yö
Mitä toivoo itselleenkin
Sen suo kai lapsilleenkin
Kuin kolmipisteturvavyö


Voiko asioiden kulkuun vaikuttaa
Onko olemassa joku, joka uskaltaa
Ja edes haluaa auttaa maailmaa
Tätä maailmaa
Vai onko ihminen menettänyt järkensä
Ja ehkä ehtinyt tuhota jo itsensä
Kun me löydetään Rakkauden planeetta

Se on sama vaikka miettisi mielessään
Miksi ihminen välitä ei itsestään
Kun se yrittää käyttää maailmaa
Likasankonaan
Ja jos ihmiskunta sen tuhota saa
Onko olemassa paikkaa ollenkaan
Minne matkustaa
Rakkauden planeetta

Ennusteet huomisesta
Ei kerro rakkaudesta
Jää pelkkä pimeä yö
Mitä toivoo itselleenkin
Sen suo kai lapsilleenkin
Kuin? turvavyö

Kun näyttää
Kun näyttää joku voisi poiketa
Niin yritetään vaikka vain löytää
Vielä löytää se Rakkauden planeetta
Tai edes joku toinen paikka

Kun näyttää
Kun näyttää joku voisi poiketa
Niin yritetään vaikka vain löytää
Vielä löytää se Rakkauden planeetta
Tai edes joku toinen paikka

Kun näyttää
Kun näyttää joku voisi poiketa
Niin yritetään vaikka vain löytää
Vielä löytää se Rakkauden planeetta
Tai edes joku toinen paikka",https://genius.com/Leevi-and-the-leavings-rakkauden-planeetta-lyrics,"Kohottava ja samalla melankolinen matka ihmiskunnan epätoivon kautta kohti rakkauden ja toivon löytämistä. Laulu kysyy, onko mahdollista muuttaa maailmaa ja löytää turvapaikka sydänten yhteydestä.","""Kun me löydetään Rakkauden planeetta""","pohdiskeleva, huolestunut, toiveikas, kriittinen, utopistinen","ihmiskunta, maailma, tulevaisuus, rakkaus, ympäristö, planeetta",1,1,1,3,3,1,1,1,3637,116
